genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0053 (0.0032);0.0053 (0.0033);0.0053 (0.0032);0.0053 (0.0032)
131;25;0.0097 (0.0028);0.0103 (0.0036);0.0113 (0.0043);0.014 (0.0068)
131;50;0.0137 (0.0029);0.0166 (0.0056);0.0226 (0.0113);0.0336 (0.0238)
131;75;0.0168 (0.0036);0.0229 (0.0084);0.0347 (0.0208);0.0494 (0.0379)
131;100;0.0197 (0.0046);0.0277 (0.011);0.043 (0.0268);0.0552 (0.043)
131;125;0.0214 (0.0044);0.0325 (0.0138);0.0478 (0.0311);0.0574 (0.0446)
131;150;0.0223 (0.0046);0.0349 (0.0149);0.0497 (0.0323);0.0585 (0.0452)
131;175;0.0243 (0.005);0.0367 (0.0156);0.051 (0.0334);0.0591 (0.0455)
131;200;0.0249 (0.0051);0.038 (0.0158);0.0518 (0.0337);0.0599 (0.0466)
69;1;0.0126 (0);0.0126 (0);0.0126 (0);0.0126 (0)
69;25;0.033 (0.0028);0.0324 (0.0023);0.0329 (0.0031);0.0318 (0.0033)
69;50;0.05 (0.0035);0.0499 (0.0055);0.0463 (0.0046);0.039 (0.0049)
69;75;0.0635 (0.0066);0.0603 (0.0049);0.0518 (0.005);0.0397 (0.0056)
69;100;0.072 (0.0079);0.0664 (0.0058);0.0535 (0.0059);0.0399 (0.0068)
69;125;0.0798 (0.0091);0.0725 (0.0061);0.0563 (0.0086);0.0417 (0.0074)
69;150;0.0863 (0.0087);0.0762 (0.0061);0.0587 (0.0086);0.0424 (0.0072)
69;175;0.0907 (0.0081);0.0791 (0.0087);0.0592 (0.0098);0.0432 (0.0077)
69;200;0.0948 (0.0089);0.0812 (0.0083);0.0625 (0.01);0.0438 (0.008)
73;1;0.2622 (0);0.2622 (0);0.2622 (0);0.2622 (0)
73;25;0.2516 (0.0087);0.2472 (0.0082);0.242 (0.0077);0.235 (0.0084)
73;50;0.241 (0.0125);0.2316 (0.0094);0.2092 (0.0106);0.1754 (0.0127)
73;75;0.2318 (0.0164);0.2177 (0.0091);0.1741 (0.0144);0.13 (0.0183)
73;100;0.2265 (0.0147);0.206 (0.0094);0.1549 (0.0138);0.1119 (0.0195)
73;125;0.221 (0.0123);0.1939 (0.0121);0.1441 (0.0142);0.1063 (0.019)
73;150;0.2166 (0.01);0.1872 (0.0087);0.1389 (0.0134);0.105 (0.0203)
73;175;0.2121 (0.0119);0.1817 (0.0082);0.1362 (0.015);0.1041 (0.0201)
73;200;0.2111 (0.0098);0.182 (0.009);0.1355 (0.0177);0.104 (0.0195)
95;1;0.1124 (0);0.1124 (0);0.1124 (0);0.1124 (0)
95;25;0.1092 (0.0045);0.1076 (0.0048);0.1066 (0.0074);0.1022 (0.0069)
95;50;0.1034 (0.0077);0.1008 (0.0071);0.0913 (0.0079);0.0748 (0.007)
95;75;0.1009 (0.0097);0.0928 (0.0077);0.0751 (0.0082);0.0534 (0.0073)
95;100;0.1005 (0.0096);0.0857 (0.0076);0.0658 (0.0076);0.0458 (0.0074)
95;125;0.0972 (0.0071);0.0828 (0.0078);0.0611 (0.0085);0.0436 (0.0087)
95;150;0.0954 (0.0103);0.0804 (0.0088);0.0599 (0.0076);0.0417 (0.0084)
95;175;0.0961 (0.0093);0.0787 (0.0095);0.0585 (0.0062);0.0411 (0.0097)
95;200;0.0962 (0.009);0.0773 (0.0092);0.058 (0.0084);0.0412 (0.0107)
