"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,05;"5e-04";"0.0284 (0.0268)";"0.027 (0.025)";"0.0281 (0.0266)";"0.0283 (0.0262)"
"2";"131";25;0,01;0,05;"5e-04";"0.1663 (0.1289)";"0.2069 (0.1534)";"0.2616 (0.1818)";"0.3773 (0.2488)"
"3";"131";50;0,01;0,05;"5e-04";"0.2234 (0.172)";"0.329 (0.2338)";"0.4721 (0.2901)";"0.6389 (0.3423)"
"4";"131";75;0,01;0,05;"5e-04";"0.2609 (0.2115)";"0.4096 (0.2771)";"0.6073 (0.3165)";"0.7146 (0.3618)"
"5";"131";100;0,01;0,05;"5e-04";"0.2834 (0.2284)";"0.4703 (0.308)";"0.6653 (0.3299)";"0.7372 (0.3619)"
"6";"131";125;0,01;0,05;"5e-04";"0.3041 (0.2481)";"0.5086 (0.3212)";"0.6922 (0.3294)";"0.7473 (0.3557)"
"7";"131";150;0,01;0,05;"5e-04";"0.3139 (0.256)";"0.5401 (0.3295)";"0.7036 (0.3278)";"0.7526 (0.352)"
"8";"131";175;0,01;0,05;"5e-04";"0.3252 (0.2618)";"0.5506 (0.3373)";"0.7069 (0.331)";"0.7457 (0.3654)"
"9";"131";200;0,01;0,05;"5e-04";"0.3336 (0.2711)";"0.5618 (0.3388)";"0.7119 (0.3296)";"0.7412 (0.3741)"
"10";"69";1;0,01;0,05;"5e-04";"8e-04 (0.0011)";"7e-04 (0.0011)";"0.001 (0.0014)";"0.0011 (0.0013)"
"11";"69";25;0,01;0,05;"5e-04";"0.0062 (0.0049)";"0.0107 (0.0113)";"0.022 (0.0204)";"0.0195 (0.0214)"
"12";"69";50;0,01;0,05;"5e-04";"0.0094 (0.0084)";"0.0195 (0.0242)";"0.0532 (0.0424)";"0.0798 (0.0893)"
"13";"69";75;0,01;0,05;"5e-04";"0.0105 (0.0125)";"0.0285 (0.0264)";"0.1025 (0.0767)";"0.1735 (0.15)"
"14";"69";100;0,01;0,05;"5e-04";"0.0112 (0.0085)";"0.0388 (0.0318)";"0.1461 (0.1147)";"0.2271 (0.1717)"
"15";"69";125;0,01;0,05;"5e-04";"0.0114 (0.0087)";"0.0482 (0.0403)";"0.1694 (0.1216)";"0.2686 (0.1918)"
"16";"69";150;0,01;0,05;"5e-04";"0.012 (0.0099)";"0.056 (0.0454)";"0.1851 (0.1201)";"0.2667 (0.2109)"
"17";"69";175;0,01;0,05;"5e-04";"0.0102 (0.0104)";"0.0622 (0.0512)";"0.2018 (0.1198)";"0.2724 (0.2185)"
"18";"69";200;0,01;0,05;"5e-04";"0.0117 (0.0126)";"0.0668 (0.056)";"0.2077 (0.1209)";"0.28 (0.2008)"
"19";"73";1;0,01;0,05;"5e-04";"9e-04 (5e-04)";"0.001 (4e-04)";"0.0011 (5e-04)";"0.001 (4e-04)"
"20";"73";25;0,01;0,05;"5e-04";"0.0021 (0.0015)";"0.0055 (0.0037)";"0.007 (0.0037)";"0.013 (0.006)"
"21";"73";50;0,01;0,05;"5e-04";"0.0043 (0.003)";"0.0123 (0.0079)";"0.0268 (0.0133)";"0.0833 (0.0395)"
"22";"73";75;0,01;0,05;"5e-04";"0.0068 (0.0049)";"0.0237 (0.0158)";"0.0793 (0.0374)";"0.2212 (0.0826)"
"23";"73";100;0,01;0,05;"5e-04";"0.0089 (0.0068)";"0.0348 (0.023)";"0.1395 (0.0666)";"0.3394 (0.1236)"
"24";"73";125;0,01;0,05;"5e-04";"0.0107 (0.0086)";"0.0507 (0.0333)";"0.1814 (0.0875)";"0.4035 (0.1247)"
"25";"73";150;0,01;0,05;"5e-04";"0.0118 (0.0075)";"0.0657 (0.0415)";"0.206 (0.0898)";"0.4481 (0.1205)"
"26";"73";175;0,01;0,05;"5e-04";"0.0155 (0.0114)";"0.0719 (0.0476)";"0.2212 (0.0899)";"0.4558 (0.1121)"
"27";"73";200;0,01;0,05;"5e-04";"0.0151 (0.0111)";"0.0797 (0.0461)";"0.2366 (0.0837)";"0.4658 (0.1198)"
"28";"95";1;0,01;0,05;"5e-04";"0.0011 (8e-04)";"0.0011 (8e-04)";"0.0012 (6e-04)";"0.0011 (6e-04)"
"29";"95";25;0,01;0,05;"5e-04";"0.0031 (0.003)";"0.0043 (0.0042)";"0.0063 (0.0059)";"0.0145 (0.0122)"
"30";"95";50;0,01;0,05;"5e-04";"0.0047 (0.0035)";"0.0131 (0.0097)";"0.0264 (0.0217)";"0.079 (0.0701)"
"31";"95";75;0,01;0,05;"5e-04";"0.0061 (0.0059)";"0.023 (0.0201)";"0.0716 (0.0581)";"0.2096 (0.1558)"
"32";"95";100;0,01;0,05;"5e-04";"0.0081 (0.0086)";"0.0318 (0.0264)";"0.138 (0.1036)";"0.3056 (0.2247)"
"33";"95";125;0,01;0,05;"5e-04";"0.0111 (0.011)";"0.0434 (0.0372)";"0.187 (0.1349)";"0.3559 (0.2251)"
"34";"95";150;0,01;0,05;"5e-04";"0.01 (0.0093)";"0.0519 (0.0401)";"0.2174 (0.1523)";"0.3607 (0.2393)"
"35";"95";175;0,01;0,05;"5e-04";"0.01 (0.0076)";"0.0651 (0.0513)";"0.2342 (0.1571)";"0.3815 (0.2424)"
"36";"95";200;0,01;0,05;"5e-04";"0.011 (0.0093)";"0.0706 (0.0514)";"0.2367 (0.1606)";"0.3779 (0.2523)"
